Pytanie;Poprawna_odpowiedz;Wyjaśnienie
"Zawodnicy są upoważnieni do okresu odpoczynku pomiędzy walkami, równego przepisowemu czasowi trwania walki. Wyjątkiem jest przypadek zmiany koloru wyposażenia, gdzie ten czas jest wydłużony do pięciu minut.";1;"5.5 Zawodnicy mają prawo do okresu wypoczynku pomiędzy walkami, o długości równej standardowemu czasowi walki. Wyjątkiem od tego jest przypadek zmiany koloru sprzętu, gdzie czas jest wydłużony do pięciu minut."
"W każdej walce, jeśli po pełnym czasie walki wyniki punktowe są równe, ale jeden z zawodników uzyskał ‘pierwszą niezrównoważoną przewagę punktową’ (SENSHU), ten zawodnik zostanie ogłoszony zwycięzcą.";1;"12.2.1 Wynik walki jest ustanawiany przez Zawodnika, który uzyskał wyraźną przewagę ośmiupunktów, w momencie upłynięcia czasu mającego największą liczbę punktów, przyrównym wyniku mającego pierwszą niezrównoważoną przewagą punktową (SENSHU), uzyskanie decyzji przez HANTEI,  lub przez HANSOKU, SHIKKAKU, KIKEN nałożone naZawodnika."
"Przez ‘pierwszą niezrównoważoną przewagę punktową’ jest rozumiana sytuacja, w której jeden zawodnik uzyskał pierwszą punktowaną technikę na przeciwniku, bez jednoczesnego zdobycia punktowanej techniki przez przeciwnika przed sygnałem.";1;"12.2.2 Przez „pierwszą niezrównoważoną przewagę punktową” (SENSHU) rozumie się, że jeden z Zawodników zdobył pierwszy punkt na przeciwniku, bez zdobycia punktu przez przeciwnika przed sygnałem. "
"Kiedy dwóch zawodników punktuje przed sygnałem, żadna ‘pierwsza niezrównoważona przewaga punktowa’ nie jest przyznawana i obaj zawodnicy utrzymują możliwość zdobycia SENSHU w dalszym ciągu meczu.";1;"12.2.2 Przez „pierwszą niezrównoważoną przewagę punktową” (SENSHU) rozumie się, żejeden z Zawodników zdobył pierwszy punkt na przeciwniku, bez zdobycia punktu przezprzeciwnika przed sygnałem. W przypadkach, gdy obaj Zawodnicy zdobywają punktyprzed sygnałem i po dwóch Sędziów Bocznych wskazuje punkty dla każdego z dwóchZawodników nie przyznaje się „pierwszej niezrównoważonej przewagi punktowej” i obajZawodnicy zachowują możliwość SENSHU w dalszej walce."
"W sytuacji, gdy zawodnik upada, jest rzucony lub znokautowany i nie wraca natychmiast do postawy stojącej, Sędzia Prowadzący wezwie doktora i w tym samym czasie rozpocznie odliczanie do dziesięciu wskazując kolejny palec ręki co sekundę.";0;"zatrzyma walkę - 11.2.4. W przypadku, gdy Zawodnik upadnie, zostanie rzucony lub powalony i nie podniesie się natychmiast na nogi, Sędzia Prowadzący zatrzyma walkę, wezwie lekarza i jednocześnie rozpocznie słowne liczenie do dziesięciu w języku angielskim (dopuszczalne użycie języka polskiego na zawodach innych niż kategoria A), wskazując liczenie palcami na każdą sekundę. "
"Sygnał dźwiękowy będzie uruchamiany przez sędziego mierzącego czas na 15 sekund przed końcem walki, a Sędzia Prowadzący ogłosi „ATOSHI BARAKU”.";1;"ATO SHIBARAKU Zostało mało czasu Osoba mierząca czas wyda sygnał dźwiękowy 15 sekund przed faktycznym zakończeniem walki, a Sędzia Prowadzący ogłosi „ATO SHIBARAKU”"
"KANSA musi pozostać cicho, jeśli Sędzia Prowadzący daje ostrzeżenie lub karę za pasywność podczas ATOSHI BARAKU.";0;"15.5.4 W następujących sytuacjach Kontroler Meczu zasygnalizuje gwizdkiem: 9. Sędzia Prowadzący przyznaje ostrzeżenie lub karę za pasywność podczas ATO SHIBARAKU"
"W indywidualnych kategoriach walki mogą być zakończone remisem.";1;"np. w Round Robin 2.2.5 Indywidualne walki nie mogą być uznane za remis, z wyjątkiem zawodów drużynowych lub zawodów Round-Robin, kiedy walka kończy się równymi punktami lub brakiem punktów i żaden z Zawodników nie uzyskał SENSHU, w którym to przypadku Sędzia Prowadzący ogłosi remis (HIKIWAKE)."
"We wszystkich systemach zawodów Trener otrzyma jedną kartę do Video Review na Zawodnika.";0;"Nie we wszystkich"
"Przy Round-robin w grupach po czterech Trener otrzyma jedną kartę dla Video Review dla każdego uczestnika w fazie Round-robin.";1;"Patrz tabela na dole strony 40"
"Zawodnik może dyskretnie prosić Trenera o zażądanie Video Review.";1;"9.1.6 Zawodnik może dyskretnie zasygnalizować Trenerowi prośbę, by zażądał Video Review"
"Video Review może być żądana przez Trenera w przypadkach, gdy Sędziowie przyznali niższą punktację niż w opinii Trenera powinna być za wyżej punktowaną technikę.";1;"14.4. Trener może zażądać Video Review w przypadkach, gdzie Sędziowie Boczni przyznaliniższą notę, a w opinii Trenera powinna być zaliczona technika o wyższej punktacji."
"Kontroler Video Review może tylko przyznać punkty, jeśli akcja punktowana była wykonana przed lub jednocześnie z drugim Zawodnikiem.";1;"14.5. Kontrolerzy Video Review mogą przyznać punkty tylko wtedy, gdy obaj zgodzą się, żeZawodnik, dla którego zgłoszono żądanie, uzyskał ważny punkt, tj. punktowanie przedlub jednocześnie z innym Zawodnikiem"
"Zawsze będzie analizowane ostatnie 6 sekund od zatrzymania walki w celu zgłoszenia Video Review.";1;"14.7. Ostatnie 6 sekund przed zatrzymaniem walki z powodu żądania Video Review będziezawsze oceniane, ale dodatkowy czas może zostać dodany, jeśli uzna się to zakonieczne, aby podjąć najlepszą możliwą decyzję. Sekwencję należy przeglądać znormalną szybkością, ale można ją dodatkowo oglądać w zwolnionym tempie lub wpowiększeniu, jeśli konieczne. Ocena musi najpierw nastąpić przy pełnej szybkości, choćnastępnie zwolnione tempo może być użyte, aby ustalić szczegóły."
"Jeśli obaj Trenerzy żądają Video Review w tym samym czasie, Kontroler Video Review przyzna tylko punkt temu Zawodnikowi, którego uzna za pierwszego.";0;"14.9. Jeśli obaj Trenerzy żądają Video Review w tym samym czasie Kontrolerzy Video Reviewmogą przyznać punkt tylko temu, kto zdobędzie punkt jako pierwszy. Jedynymwyjątkiem są techniki jednoczesnego punktowania, w którym to przypadku punktymogą być przyznane obu Zawodnikom."
"Jednoczesne techniki punktowane mogą być przyznane obu Zawodnikom w Video Review.";1;"14.9 Jeśli obaj Trenerzy żądają Video Review w tym samym czasie Kontrolerzy Video Reviewmogą przyznać punkt tylko temu, kto zdobędzie punkt jako pierwszy. Jedynymwyjątkiem są techniki jednoczesnego punktowania, w którym to przypadku punktymogą być przyznane obu Zawodnikom."
"Kontroler Video Review nie może unieważnić żadnej decyzji Sędziów Bocznych za wyjątkiem SENSHU.";1;"14.12. Kontrolerzy Video Review nie mogą sprzeciwić się żadnej decyzji Sędziów Bocznych, zwyjątkiem SENSHU."
"Menadżer Tatami musi nadzorować, że KANSA zatrzymuje walkę w celu instruowania Sędziego Prowadzącego o wykroczeniu przeciw Przepisom Zawodów.";1;"15.2.1 Uprawnienia i obowiązki Menadżerów Tatami są następujące:3. Nadzorowanie zatrzymania walki przez KANSĘ w celu pouczenia SędziegoProwadzącego o naruszeniu Przepisów Zawodów."
"Sędzia Prowadzący wskazuje zauważone faule i nakłada ostrzeżenia i kary jakie są wymagane przez przepisy.";1;"15.3.1 Uprawnienia Sędziego Prowadzącego są następujące: : 7. Wskazywanie zaobserwowanych fauli oraz nakładanie ostrzeżeń i karzgodnie z przepisami."
"Sędzia Prowadzący rozstrzyga remisy w przypadku HANTEI.";1;"15.3.1 Uprawnienia Sędziego Prowadzącego są następujące: : 10. Przeprowadzanie głosowania Sędziów Bocznych w przypadku remisu, a jeśli tokonieczne głosowanie własne (HANTEI) w celu rozstrzygnięcia remisu."
"Zawsze jest odpowiedzialnością KANSY zapewnić, że sprzęt jest w zgodzie z przepisami przed każdą walką.";1;"15.5.3 Przed rozpoczęciem każdego meczu lub walki Kontroler Meczu musi się upewnić, żesprzęt Zawodników i Karategi są zgodne z przepisami zawodów PUK. Nawet jeśliAsystent Kansy przeprowadza kontrolę sprzętu przed ustawieniem, KANSA nadal ponosiodpowiedzialność, by sprzęt był zgodny z przepisami przed każdą walką. Kontroler Meczunie będzie podlegał rotacji podczas Meczu Drużynowego. W zawodach, gdzie AsystentKansy nie jest wymagany jest odpowiedzialnością Kansy upewnienie się, że wyposażeniejest zgodności z przepisami przed każdą walką."
"W przypadku, gdy Sędzia Prowadzący nie słyszy sygnału końca walki, KANSA zagwiżdże gwizdkiem.";0;"15.5.5 W następujących sytuacjach Kontroler Meczu nie będzie ingerował w decyzje PaneluSędziowskiego: 3. W przypadku, gdy Sędzia Prowadzący nie usłyszy sygnału końca walki,Kontroler Punktacji gwiżdże gwizdkiem, nie KANSA"
"W systemie sędziowania z dwójką Sędziów Bocznych, Sędziowie Boczni będą asystować Sędziemu Prowadzącemu sygnalizując JOGAI, nadmierny kontakt, i dotyk skóry w kategoriach, w których jest to wbrew przepisom.";1;"Załącznik 5. 2. Oprócz wskazywania punktów, Sędziowie Boczni będą pomagać Sędziemu Prowadzącemu, sygnalizując Jogai, nadmierny kontakt i dotyk skóry dla kategorii, gdzie jest to sprzeczne z przepisami, ale Sędzia Prowadzący zachowuje autonomię w stosowaniu ostrzeżeń i kar"
"W systemie sędziowania z dwójką Sędziów Bocznych, Sędzia Prowadzący pozostaje autonomiczny w stosowaniu ostrzeżeń i kar,";1;"Załącznik 5. 2. Oprócz wskazywania punktów, Sędziowie Boczni będą pomagać Sędziemu Prowadzącemu, sygnalizując Jogai, nadmierny kontakt i dotyk skóry dla kategorii, gdzie jest to sprzeczne z przepisami, ale Sędzia Prowadzący zachowuje autonomię w stosowaniu ostrzeżeń i kar"
"W systemie sędziowania z dwójką Sędziów Bocznych, jeśli dwóch Sędziów Bocznych lub jeden Sędzia Boczny i Sędzia Prowadzący wskazują różną punktację dla tego samego Zawodnika, będzie przyznana wyższa punktacja.";1;"Załącznik 5. 8. Jeśli dwóch Sędziów Bocznych lub jeden Sędzia Boczny i Sędzia Prowadzący pokazują różne punkty dla tych samych Zawodników, zostanie przyznany wyższy punkt."
"W systemie sędziowania z dwójką Sędziów Bocznych, jeśli dwóch Sędziów Bocznych lub jeden Sędzia Boczny i Sędzia Prowadzący wskazują różny poziom ostrzeżenia dla tego samego Zawodnika, będzie przyznane niższe. ";0;"Załącznik 5. 7. Jeśli jeden Sędzia Boczny sygnalizuje przyznanie punktu, a drugi ostrzeżenie lub karę, Sędzia Prowadzący podejmie ostateczną decyzję, wspierając jednego z Sędziów Bocznych."
